year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,14,982,0,0
2020,3,12,0,14,0,0
2020,3,13,0,12,0,0
2020,3,14,0,0,0,0
2020,3,15,1,0,0,0
2020,3,16,0,32,0,0
2020,3,17,0,36,0,0
2020,3,18,0,14,8,1
2020,3,19,1,12,0,0
2020,3,20,1,8,0,0
2020,3,21,0,2,1,0
2020,3,22,0,6,0,0
2020,3,23,0,187,0,0
2020,3,24,0,11,0,0
2020,3,25,0,58,0,0
2020,3,26,0,31,1,0
2020,3,27,0,14,0,0
2020,3,28,0,12,3,0
2020,3,29,0,2,0,0
2020,3,30,0,19,0,0
2020,3,31,0,27,0,0
2020,4,1,1,0,0,0
2020,4,2,2,52,1,0
2020,4,3,1,40,1,0
2020,4,4,0,8,0,0
2020,4,5,4,1,0,0
2020,4,6,2,62,0,0
2020,4,7,1,60,0,0
2020,4,8,1,54,0,0
2020,4,9,3,0,0,0
2020,4,10,1,121,0,0
2020,4,11,0,112,2,0
2020,4,12,1,0,0,0
2020,4,13,0,103,0,0
2020,4,14,1,27,0,0
2020,4,15,2,78,2,0
2020,4,16,1,42,0,0
2020,4,17,1,24,0,0
2020,4,18,1,11,0,0
2020,4,19,6,38,1,0
2020,4,20,0,27,0,0
2020,4,21,1,42,0,0
2020,4,22,2,41,2,0
2020,4,23,1,32,1,0
2020,4,24,2,72,0,0
2020,4,25,5,2,1,0
2020,4,26,1,35,3,0
2020,4,27,1,274,0,0
2020,4,28,1,67,0,1
2020,4,29,0,2,1,0
2020,4,30,2,127,0,0
2020,5,1,0,44,0,0
2020,5,2,0,0,3,0
2020,5,3,0,0,4,0
2020,5,4,0,0,0,0
2020,5,5,0,0,3,0
2020,5,6,0,0,5,0
2020,5,7,0,206,1,0
2020,5,8,0,27,2,0
2020,5,9,0,29,2,0
2020,5,10,0,25,0,0
2020,5,11,0,5,1,1
2020,5,12,1,23,0,0
2020,5,13,0,32,1,0
2020,5,14,0,26,2,0
2020,5,15,0,27,0,0
2020,5,16,0,27,0,0
2020,5,17,0,25,0,0
2020,5,18,0,11,0,0
2020,5,19,0,14,0,0
2020,5,20,0,19,0,0
2020,5,21,0,13,1,0
2020,5,22,0,16,1,0
2020,5,23,0,10,0,0
2020,5,24,0,12,0,0
2020,5,25,0,6,0,0
2020,5,26,0,3,1,0
2020,5,27,0,18,1,0
2020,5,28,0,6,0,0
2020,5,29,0,12,1,0
2020,5,30,0,15,0,0
2020,5,31,0,17,0,0
2020,6,1,0,7,0,0
2020,6,2,0,5,0,0
2020,6,3,0,20,3,0
2020,6,4,0,10,0,0
2020,6,5,0,16,0,0
2020,6,6,0,9,0,0
2020,6,7,0,19,0,0
2020,6,8,0,3,0,0
2020,6,9,0,7,0,0
2020,6,10,0,18,0,0
2020,6,11,0,9,0,0
2020,6,12,0,7,0,0
2020,6,13,0,9,0,0
2020,6,14,0,13,0,0
2020,6,15,0,3,0,0
2020,6,16,0,3,0,0
2020,6,17,0,9,0,0
2020,6,18,0,6,0,0
2020,6,19,0,9,0,0
2020,6,20,0,8,0,0
2020,6,21,0,6,0,0
2020,6,22,0,4,0,0
2020,6,23,1,3,0,0
2020,6,24,0,14,0,0
2020,6,25,0,20,0,0
2020,6,26,0,17,0,0
2020,6,27,0,7,0,0
2020,6,28,0,16,0,0
2020,6,29,0,1,0,0
2020,6,30,0,8,0,0
2020,7,1,0,18,0,0
2020,7,2,0,24,1,0
2020,7,3,0,13,0,0
2020,7,4,0,12,0,0
2020,7,5,0,12,0,0
2020,7,6,0,4,0,0
2020,7,7,0,7,0,0
2020,7,8,0,18,0,0
2020,7,9,2,11,0,0
2020,7,10,5,212,0,0
2020,7,11,4,95,0,0
2020,7,12,5,102,0,0
2020,7,13,3,41,0,0
2020,7,14,1,22,0,0
2020,7,15,0,125,0,0
2020,7,16,0,123,5,0
2020,7,17,3,38,4,0
2020,7,18,2,65,0,0
2020,7,19,0,55,3,0
2020,7,20,4,83,0,0
